state,total
GA,92
FL,75
IL,66
CA,41
MN,23
WA,19
MO,16
AZ,16
MI,14
TX,12
NV,12
WI,10
CO,10
PA,10
MD,10
SC,10
KS,9
OH,8
NC,7
UT,7
AL,7
OK,7
TN,7
NJ,6
OR,6
VA,5
NY,5
PR,4
NE,3
AR,3
IN,3
NM,3
LA,3
ID,2
MS,2
CT,2
IA,2
KY,2
WV,1
MA,1
NH,1
WY,1
HI,1
SD,1
AK,0
DE,0
ME,0
MT,0
ND,0
RI,0
VT,0
